Aline ,U.Val    , A.Val
H,58,72
H,720,72
H,721,72
w,695,119
j,690,106
xV,736,120 86
hYV,740,104 89 86
N,126,78
V,748,86
J,39,74
J,700,74
J,65287,74
J,8217,74
A,688,65
